pc1,pc2,pc3,pc4,pc5,pc6,pc7
0.63138,0.21756,0.15106,0.00000,0.00000,0.00000,0.00000
0.62759,0.22261,0.14979,0.00000,0.00000,0.00000,0.00000
0.61697,0.23244,0.15059,0.00000,0.00000,0.00000,0.00000
0.60526,0.24334,0.15140,0.00000,0.00000,0.00000,0.00000
0.59242,0.25534,0.15224,0.00000,0.00000,0.00000,0.00000
0.57781,0.26831,0.15388,0.00000,0.00000,0.00000,0.00000
0.55280,0.28866,0.15854,0.00000,0.00000,0.00000,0.00000
0.52712,0.30680,0.16609,0.00000,0.00000,0.00000,0.00000
0.59088,0.23775,0.17137,0.00000,0.00000,0.00000,0.00000
0.60366,0.19840,0.19793,0.00000,0.00000,0.00000,0.00000